Produto,Referência,Preço venda,Preço revenda,Quantidade,Codigo de barras
GARRAFA TÉRMICA CUP-12091,CUP-12091,35,55,0,7899085713607
A-5681 MINI STUDIO FOTOGRAFICO PEQUENO,A5681 PEQUENO,75,100,0,1100000019718
CAIXA DE FERRAMENTAS C/10 PEÇAS LE-1992,LE-1992,75,110,0,7908125203715
FECHADURAS PARA BICICLETAS KA-5708,KA-5708,37,55,0,7897700057082
KA-1973 ARMA DE FOGO OU MASSARICO,KA-1973,15,25,0,7897705284056
WU-052 GARRAFA TERMICA,WU-052,32,45,0,7898070366736
LE-5108 GARRAFA TERMICA INFANTIL,LE-5108,50,70,0,7898202208118
KA-1039 MINI LASER DE PALCO,KA-1039,55,80,0,7897717510396
COPO TÉRMICO FOSCO SEM NOME CUP-888,CUP-888,20,30,0,7899085593827
GB-820 FASCIAL GUN PISTOLA DE MASSAGEM,GB-820,90,130,0,7897722818128
CAR-3303C CARREGADOR 5.1 INOVA,CAR-3303C,11,25,0,7899085712020
CBO-7572 - CABO USB DE CAIXINHA,CBO-7572,5.5,10,0,7899085486945
FON-20387 FONE DE OUVIDO,FON-20387,50,80,0,7899085713904
FON-20417 - FONE DE OUVIDO,BA-FON-20417,40,65,0,7899085713133
CBO-9853 CABO USB DE SAQUINHO,CBO-9853,3,8,0,7893595556341
KV-257 CABO DE SAQUINHO IPHONE,KV-257,3.5,8,0,7898070364688
LCD-800 SUPORTE PARA TV LCD/LED LCD-800,LCD-800,11,20,0,7890056778007
LM-2572 GARRAFA MIX DE SHAKE,LM-2572,12,25,0,6934208020222
HD-3003 ANTENA HD DE TV DIGITAL,HD-3003,13,25,0,7819123686892
FA-1005 GARRAFA REFRIGERADA 600 ML,FA-1005,7,10,0,1000000554212
KA-8960 - CAIXA DE SOM COM MICROFONE KAPBOM,KA-8960,150,250,0,7897782889601
PACOTE DE LIMPA TELA,LIMPA TELA,20,0,0,1000000583212
BÓIA BANANA FLUTUANTE,#43195,60,120,0,6942138937954
